STUDY_ID,REVIEWERS,INCLUDE,Record.Number,Author,Year,Title,Abstract,Reference.Type,Journal,Volume,Pages,Issue,Keywords,Accession.Number,DOI,ISSN
39,Jonny,maybe,499,"Ayouba, A.;Akoua-Koffi, C.;Calvignac-Spencer, S.;Esteban, A.;Locatelli, S.;Li, H.;Li, Y.;Hahn, B. H.;Delaporte, E.;Leendertz, F. H.;Peeters, M.",2013,Evidence for continuing cross-species transmission of SIVsmm to humans: characterization of a new HIV-2 lineage in rural C?te d'Ivoire,"HIV types 1 and 2 (HIV-1 and HIV-2) are the result of multiple cross-species transmissions of their simian counterparts (SIVs) to humans. We studied whether new SIVs lineages have been transmitted to humans in rural C?te d'Ivoire and identified a novel HIV-2 variant (HIV-2-07IC-TNP03) not related to any of the previously defined HIV-2 groups. This finding shows that sooty mangabey viruses continue to be transmitted to humans, causing new zoonotic outbreaks.",Journal Article,Aids,27,15,2488-91,Animals;Cercocebus atys;Cote d'Ivoire/epidemiology;HIV Infections/*genetics;HIV-2/classification/*genetics;Humans;Molecular Sequence Data;Simian Immunodeficiency Virus/*genetics;Zoonoses/genetics,23939239,10.1097/01.aids.0000432443.22684.50,0269-9370 (Print);0269-9370
40,Jonny,maybe,1395,"Azhar, E. I.;El-Kafrawy, S. A.;Farraj, S. A.;Hassan, A. M.;Al-Saeed, M. S.;Hashem, A. M.;Madani, T. A.",2014,Evidence for camel-to-human transmission of MERS coronavirus,"We describe the isolation and sequencing of Middle East respiratory syndrome coronavirus (MERS-CoV) obtained from a dromedary camel and from a patient who died of laboratory-confirmed MERS-CoV infection after close contact with camels that had rhinorrhea. Nasal swabs collected from the patient and from one of his nine camels were positive for MERS-CoV RNA. In addition, MERS-CoV was isolated from the patient and the camel. The full genome sequences of the two isolates were identical. Serologic data indicated that MERS-CoV was circulating in the camels but not in the patient before the human infection occurred. These data suggest that this fatal case of human MERS-CoV infection was transmitted through close contact with an infected camel.",Journal Article,N Engl J Med,370,26,2499-505,"Adult;Animals;Camelus/*virology;Coronavirus/genetics/*isolation & purification;Coronavirus Infections/*transmission;Genome, Viral;Humans;Male;Middle East;Nose/*virology;RNA, Viral/isolation & purification;Reverse Transcriptase Polymerase Chain Reaction;Saudi Arabia;Zoonoses/transmission",24896817,10.1056/NEJMoa1401505,0028-4793
41,Jonny,NO,2075,"Bakonyi, T.;Jungbauer, C.;Aberle, S. W.;Kolodziejek, J.;Dimmel, K.;Stiasny, K.;Allerberger, F.;Nowotny, N.",2017,"Usutu virus infections among blood donors, Austria, July and August 2017 - Raising awareness for diagnostic challenges","Between July and August 2017, seven of 12,047 blood donations from eastern Austria, reacted positive to West Nile virus (WNV) in the cobas test (Roche). Follow-up investigations revealed Usutu virus (USUV) nucleic acid in six of these. Retrospective analyses of four blood donors diagnosed as WNV-infected in 2016 showed one USUV positive. Blood transfusion services and public health authorities in USUV-endemic areas should be aware of a possible increase of human USUV infections.",Journal Article,Euro Surveill,22,41,,"Austria;*Blood Donors;Encephalitis Viruses, Japanese;*Flavivirus;Humans;Nucleic Acid Amplification Techniques/*methods;Polymerase Chain Reaction;RNA, Viral;Retrospective Studies;Reverse Transcriptase Polymerase Chain Reaction;West Nile virus/genetics/*isolation & purification;Flaviviridae;Usutu virus;West Nile virus;blood donor;blood-borne infections;diagnosis;flavivirus",29043962,10.2807/1560-7917.Es.2017.22.41.17-00644,1025-496X (Print);1025-496x
42,Jonny,maybe,3993,"B?lint, A.;Kiss, I.;B?nyai, K.;Biksi, I.;Szentp?li-Gavall?r, K.;Magyar, T.;Jankovics, I.;R?zsa, M.;Szalai, B.;Tak?cs, M.;T?th, A. G.;D?n, A.",2013,Emergence and characterisation of pandemic H1N1 influenza viruses in Hungarian swine herds,"In 2010, two novel porcine H1N1 influenza viruses were isolated from pigs with influenza-like illness in Hungarian swine herds. Sequence and phylogenetic analysis of these strains revealed that they shared molecular features with the pandemic H1N1 influenza virus strains, which emerged globally during 2009. The PB2, HA and NA genes contained unique amino acid changes compared to the available new H1N1 influenza virus sequences of pig origin. Furthermore, the investigated strains could be separated with respect to parallel amino acid substitutions affecting the polymerase genes (PB2, PB1 and PA) and the nucleoprotein (NP) gene, supporting the proposed complementarities between these proteins, all required for the viral fitness. Molecular characterisation of two Hungarian human pandemic H1N1 isolates was also performed, so that we could compare contemporaneous strains of different host species origins. Shared molecular motifs in various genes of animal and human influenza strains suggested that the Hungarian porcine strains could have originated from humans through direct interspecies transmission. This study is among the few that support the natural human-to-pig transmission of the pandemic H1N1 influenza virus.",Journal Article,Acta Vet Hung,61,1,125-34,"Animals;Humans;*Influenza A Virus, H1N1 Subtype;*Orthomyxoviridae Infections;Phylogeny;Swine;Swine Diseases;Viral Proteins/genetics",23439297,10.1556/AVet.2012.059,0236-6290 (Print);0236-6290
43,Jonny,NO,920,"Banks, M.;Bendall, R.;Grierson, S.;Heath, G.;Mitchell, J.;Dalton, H.",2004,"Human and porcine hepatitis E virus strains, United Kingdom",We describe a case of acquired infection of a strain of hepatitis E virus (HEV) with a 100% amino acid identity to the analogous region in strains of HEV circulating in a United Kingdom pig herd. This case further supports the theory that autochthonous HEV infection in industrialized countries is zoonotic.,Journal Article,Emerg Infect Dis,10,5,953-5,"Animals;Female;Hepatitis E/veterinary/*virology;Hepatitis E virus/*classification/*genetics/isolation & purification;Humans;Middle Aged;Molecular Sequence Data;Sequence Analysis, DNA;Swine;Swine Diseases/*virology;United Kingdom;Zoonoses/*virology",15200841,10.3201/eid1005.030908,1080-6040 (Print);1080-6040
44,Jonny,NO,1842,"Bansal, M.;Kaur, S.;Deka, D.;Singh, R.;Gill, J. P. S.",2017,"Seroepidemiology and molecular characterization of hepatitis E virus infection in swine and occupationally exposed workers in Punjab, India","Hepatitis E virus (HEV) has two discrete epidemiological patterns: waterborne epidemics in developing countries only, caused by HEV genotype I, and sporadic zoonotic outbreaks in developing and developed countries caused by genotypes III and IV. This study was designed to investigate seroprevalence, molecular detection and the characterization of HEV by nested RT-PCR in swine as well as the occupational risk to exposed human population in Punjab state of north-western India. The occupational risk-exposed group comprised of swine farmers (organized - mixed feed feeders and unorganized - swill feeders), slaughterhouse workers, sewage workers and veterinary internes. During the study period, blood and faecal samples were collected from 320 swine and 360 humans with both high and low occupational exposure risks. The overall seroprevalence of swine HEV was 65.00%, with a significantly higher seropositivity in growing pigs (2-8ﬂmonths of age). The prevalence of HEV RNA in swine faecal samples by nRT-PCR was 8.75% with a significantly higher detection in swill-fed pigs. With humans in the high occupational exposure risk population, significantly higher anti-HEV IgG seropositivity was observed (60.48%) as compared to control population (10.71%). Strong evidence of association between human anti-HEV IgG seropositivity and certain occupational exposure risk groups was observed (pﬂ<ﬂ0.05). This indicates that unorganized swine farmers, slaughterhouse workers and sewage workers have higher odds of HEV infection in this study region. Percentage of nucleotide similarity between swine and human HEV isolates was less than that found in countries with zoonotic HEV outbreaks. Molecular characterization revealed the circulation of G IV and G I genotypes among swine and human population in Punjab state, respectively.",Journal Article,Zoonoses Public Health,64,8,662-672,Abattoirs;Adult;Animals;Farmers;Feces/virology;Hepatitis E/epidemiology/*veterinary/virology;*Hepatitis E virus/genetics;Humans;India/epidemiology;*Occupational Exposure;Phylogeny;Seroepidemiologic Studies;Swine;Swine Diseases/epidemiology/*virology;Veterinarians;Young Adult;Zoonoses;*India;*Punjab;*hepatitis E virus;*molecular characterization;*occupational risk-exposed population;*pigs;*seroprevalence;*zoonoses,28449278,10.1111/zph.12363,1863-1959
45,Jonny,NO,686,"B?nyai, K.;Esona, M. D.;Mijatovic, S.;Kerin, T. K.;Pedreira, C.;Mercado, J.;Balmaseda, A.;Perez, M. C.;Patel, M. M.;Gentsch, J. R.",2009,"Zoonotic bovine rotavirus strain in a diarrheic child, Nicaragua",,Journal Article,J Clin Virol,46,4,391-3,Animals;Cattle;Child;Diarrhea/*virology;Humans;Nicaragua;Phylogeny;Rotavirus/*classification/genetics/isolation & purification;Rotavirus Infections/*transmission/*virology;Zoonoses/*transmission/*virology,19775934,10.1016/j.jcv.2009.08.005,1386-6532
46,Jonny,NO,760,"B?nyai, K.;Martella, V.;Moln?r, P.;Mih?ly, I.;Van Ranst, M.;Matthijnssens, J.",2009,Genetic heterogeneity in human G6P[14] rotavirus strains detected in Hungary suggests independent zoonotic origin,,Journal Article,J Infect,59,3,213-5,Animals;*Genetic Heterogeneity;Humans;Hungary/epidemiology;Phylogeny;Rotavirus/classification/*genetics/isolation & purification;Rotavirus Infections/transmission;Sheep/virology;Zoonoses/transmission,19608281,10.1016/j.jinf.2009.06.009,0163-4453
47,Jonny,maybe,609,"Barr, J. A.;Smith, C.;Marsh, G. A.;Field, H.;Wang, L. F.",2012,"Evidence of bat origin for Menangle virus, a zoonotic paramyxovirus first isolated from diseased pigs","Menangle virus (MenPV) is a zoonotic paramyxovirus capable of causing disease in pigs and humans. It was first isolated in 1997 from stillborn piglets at a commercial piggery in New South Wales, Australia, where an outbreak of reproductive disease occurred. Neutralizing antibodies to MenPV were detected in various pteropid bat species in Australia and fruit bats were suspected to be the source of the virus responsible for the outbreak in pigs. However, previous attempts to isolate MenPV from various fruit bat species proved fruitless. Here, we report the isolation of MenPV from urine samples of the black flying fox, Pteropus alecto, using a combination of improved procedures and newly established bat cell lines. The nucleotide sequence of the bat isolate is 94?% identical to the pig isolate. This finding provides strong evidence supporting the hypothesis that the MenPV outbreak in pigs originated from viruses in bats roosting near the piggery.",Journal Article,J Gen Virol,93,Pt 12,2590-2594,"Animals;Australia/epidemiology;Chiroptera/*virology;Epidemics/veterinary;Humans;Molecular Sequence Data;Phylogeography;RNA, Viral/genetics;Rubulavirus/classification/genetics/*isolation & purification/pathogenicity;Rubulavirus Infections/epidemiology/transmission/*veterinary/virology;Species Specificity;Sus scrofa/*virology;Swine;Swine Diseases/epidemiology/virology;Zoonoses/transmission/virology",22915696,10.1099/vir.0.045385-0,0022-1317
48,Jonny,maybe,4205,"Bastos, A. D.;Boshoff, C. I.;Keet, D. F.;Bengis, R. G.;Thomson, G. R.",2000,"Natural transmission of foot-and-mouth disease virus between African buffalo (Syncerus caffer) and impala (Aepyceros melampus) in the Kruger National Park, South Africa","VP1 gene sequences of SAT-2 type foot-and-mouth disease (FMD) viruses recovered from impala and African buffalo in the Kruger National Park (KNP) were used to determine intra- and interspecies relationships of viruses circulating in these wildlife populations. On this basis five distinct lineages of SAT-2 virus were identified in routine sampling of oesophageopharyngeal epithelium from buffalo between 1988 and 1996. Different lineages were associated with discrete geographic sampling localities. Over the period 1985-95, four unrelated epizootics occurred in impala in defined localities within the KNP. Evidence for natural transmission of FMD between buffalo and impala is presented for the most recent 1995 outbreak, with data linking the 1985 and 1988/9 impala epizootics to viruses associated with specific buffalo herds.",Journal Article,Epidemiol Infect,124,3,591-8,"Animals;Animals, Wild;Antelopes/*virology;Aphthovirus/*genetics;Base Sequence;Buffaloes/*virology;DNA, Viral/analysis;Disease Outbreaks/*veterinary;Foot-and-Mouth Disease/*transmission;Polymerase Chain Reaction;Sequence Analysis, DNA;South Africa/epidemiology",10982083,10.1017/s0950268899004008,0950-2688 (Print);0950-2688
49,Jonny,NO,1886,"Beaudoin, A.;Gramer, M.;Gray, G. C.;Capuano, A.;Setterquist, S.;Bender, J.",2010,Serologic survey of swine workers for exposure to H2N3 swine influenza A,"BACKGROUND: Of the 16 influenza A hemagglutinin (H) subtypes, only H1, H2 and H3 viruses have been shown to cause sustained human infection. Whereas H1 and H3 viruses currently circulate seasonally in humans, H2 viruses have not been identified in humans since 1968. In 2006, an H2N3 influenza virus was isolated from ill swine in the United States. OBJECTIVE: To assess the potential for zoonotic influenza transmission, the current study looked for serologic evidence of H2 influenza infection among workers at two swine facilities, some exposed and some unexposed to H2N3-positive pigs. METHODS: The sera were assessed for antibodies to swine H2 influenza and currently circulating seasonal human influenza A subtypes H1N1 and H3N2. Workers were interviewed to obtain details such as age, influenza vaccination history, experiences of influenza-like-illness, and use of personal protective equipment and hygiene when working with pigs. Exposure and risk factors for positive antibody titers were compared for exposed and unexposed individuals as well as for H2 antibody-positive and H2 antibody-negative individuals. RESULTS: Blood was taken from 27 swine workers, of whom four had positive H2 antibody titers (> or = 1:40). Three of the positive employees were born before 1968 and one had an unknown birth date. Only one of these workers had been exposed to H2N3-positive pigs, and he was born in 1949. CONCLUSIONS: These data do not support the hypothesis that swine workers were infected with the emergent swine H2N3 influenza A virus.",Journal Article,Influenza Other Respir Viruses,4,3,163-70,"Adult;*Agriculture;Animals;Antibodies, Viral/*blood;Cross-Sectional Studies;Female;Humans;Influenza A virus/*immunology;Influenza, Human/*epidemiology/*virology;Male;Middle Aged;*Occupational Exposure;Risk Assessment;Seroepidemiologic Studies;Swine;United States;Young Adult;Zoonoses/*epidemiology",20409213,10.1111/j.1750-2659.2009.00127.x,1750-2640 (Print);1750-2640
50,Jonny,maybe,2929,"Ben Hadj Fredj, M.;Heylen, E.;Zeller, M.;Fodha, I.;Benhamida-Rebai, M.;Van Ranst, M.;Matthijnssens, J.;Trabelsi, A.",2013,"Feline origin of rotavirus strain, Tunisia, 2008","In Tunisia in 2008, an unusual G6P[9] rotavirus, RVA/human-wt/TUN/17237/2008/G6P[9], rarely found in humans, was detected in a child. To determine the origin of this strain, we conducted phylogenetic analyses and found a unique genotype constellation resembling rotaviruses belonging to the feline BA222-like genotype constellation. The strain probably resulted from direct cat-to-human transmission.",Journal Article,Emerg Infect Dis,19,4,630-4,"Animals;Cats/*virology;Child;*Genome, Viral;Genotype;Humans;Phylogeny;Reassortant Viruses/classification/*genetics/isolation & purification;Rotavirus/classification/*genetics/isolation & purification;Rotavirus Infections/diagnosis/*transmission/virology;Sequence Analysis, DNA;Tunisia;Viral Proteins/classification/*genetics;G6p[9];full genome characterization;group A rotavirus;interspecies transmission;rotavirus;viruses",23631866,10.3201/eid1904.121383,1080-6040 (Print);1080-6040
51,Jonny,NO,1532,"Bernardi, F.;Nadin-Davis, S. A.;Wandeler, A. I.;Armstrong, J.;Gomes, A. A. B.;Lima, F. S.;Nogueira, F. R. B.;Ito, F. H.",2005,Antigenic and genetic characterization of rabies viruses isolated from domestic and wild animals of Brazil identifies the hoary fox as a rabies reservoir,"Fifty Brazilian rabies viruses, collected from many different animal species and several regions of the country, were characterized by partial sequencing of the central, variable region of the P gene, a locus useful for sensitive molecular epidemiological studies. Phylogenetic analysis of the sequences, which included comparison with other rabies strains recovered from throughout the Americas, identified three main groups of Brazilian viruses, arbitrarily designated BRL-1 to BRL-3. BRL-1 was found in terrestrial carnivores and clusters with other American strains of the cosmopolitan lineage. BRL-2 comprised two distinct isolates, recovered from two species of non-haematophagous bats, that had evolutionary links to insectivorous-bat-derived strains of North America. BRL-3 consisted of isolates from vampire bats and from livestock species probably infected via contact with vampire bats. The terrestrial group was further subdivided into three subtypes: BRL-1a was associated exclusively with dogs and cats, while BRL-1b and BRL-1c were found exclusively in hoary foxes. These observations strongly support the role of the Brazilian hoary fox as a rabies reservoir. Screening of representative Brazilian rabies viruses against a collection of anti-rabies monoclonal antibodies (mAbs) identified a small panel of mAbs that could be used to discriminate between all Brazilian subgroups as defined by genetic classification in this study.",Journal Article,J Gen Virol,86,Pt 11,3153-3162,"Animals;Animals, Domestic/virology;Animals, Wild/virology;Antigenic Variation/*genetics;Antigens, Viral/*analysis;Brazil;Disease Reservoirs/*veterinary;Foxes/*virology;Molecular Sequence Data;Phylogeny;Rabies/*veterinary/virology;Rabies virus/classification/genetics/immunology/*isolation & purification;Zoonoses/virology",16227239,10.1099/vir.0.81223-0,0022-1317 (Print);0022-1317
52,Jonny,maybe,1925,"Berto, A.;Pham, H. A.;Thao, T. T. N.;Vy, N. H. T.;Caddy, S. L.;Hiraide, R.;Tue, N. T.;Goodfellow, I.;Carrique-Mas, J. J.;Thwaites, G. E.;Baker, S.;Boni, M. F.",2018,Hepatitis E in southern Vietnam: Seroepidemiology in humans and molecular epidemiology in pigs,"Viral pathogens account for a significant proportion of the burden of emerging infectious diseases in humans. The Wellcome Trust-Vietnamese Initiative on Zoonotic Infections (WT-VIZIONS) is aiming to understand the circulation of viral zoonotic pathogens in animals that pose a potential risk to human health. Evidence suggests that human exposure and infections with hepatitis E virus (HEV) genotypes (GT) 3 and 4 results from zoonotic transmission. Hypothesising that HEV GT3 and GT4 are circulating in the Vietnamese pig population and can be transmitted to humans, we aimed to estimate the seroprevalence of HEV exposure in a population of farmers and the general population. We additionally performed sequence analysis of HEV in pig populations in the same region to address knowledge gaps regarding HEV circulation and to evaluate if pigs were a potential source of HEV exposure. We found a high prevalence of HEV GT3 viral RNA in pigs (19.1% in faecal samples and 8.2% in rectal swabs) and a high HEV seroprevalence in pig farmers (16.0%) and a hospital-attending population (31.7%) in southern Vietnam. The hospital population was recruited as a general-population proxy even though this particular population subgroup may introduce bias. The detection of HEV RNA in pigs indicates that HEV may be a zoonotic disease risk in this location, although a larger sample size is required to infer an association between HEV positivity in pigs and seroprevalence in humans.",Journal Article,Zoonoses Public Health,65,1,43-50,"Animals;Farmers;Hepatitis E/epidemiology/*veterinary/virology;Hepatitis E virus/*genetics;Humans;*Molecular Epidemiology;RNA, Viral/genetics;Seroepidemiologic Studies;Swine;Swine Diseases/epidemiology/*virology;Vietnam/epidemiology;Zoonoses;*Vietnam;*hepatitis E virus;*human;*pigs;*prevalence;*seroprevalence;*zoonosis;interests.",28598034,10.1111/zph.12364,1863-1959 (Print);1863-1959
53,Jonny,maybe,1000,"Betsem, E.;Rua, R.;Tortevoye, P.;Froment, A.;Gessain, A.",2011,Frequent and recent human acquisition of simian foamy viruses through apes' bites in central Africa,"Human infection by simian foamy viruses (SFV) can be acquired by persons occupationally exposed to non-human primates (NHP) or in natural settings. This study aimed at getting better knowledge on SFV transmission dynamics, risk factors for such a zoonotic infection and, searching for intra-familial dissemination and the level of peripheral blood (pro)viral loads in infected individuals. We studied 1,321 people from the general adult population (mean age 49 yrs, 640 women and 681 men) and 198 individuals, mostly men, all of whom had encountered a NHP with a resulting bite or scratch. All of these, either Pygmies (436) or Bantus (1085) live in villages in South Cameroon. A specific SFV Western blot was used and two nested PCRs (polymerase, and LTR) were done on all the positive/borderline samples by serology. In the general population, 2/1,321 (0.2%) persons were found to be infected. In the second group, 37/198 (18.6%) persons were SFV positive. They were mostly infected by apes (37/39) FV (mainly gorilla). Infection by monkey FV was less frequent (2/39). The viral origin of the amplified sequences matched with the history reported by the hunters, most of which (83%) are aged 20 to 40 years and acquired the infection during the last twenty years. The (pro)viral load in 33 individuals infected by a gorilla FV was quite low (<1 to 145 copies per 10(5) cells) in the peripheral blood leucocytes. Of the 30 wives and 12 children from families of FV infected persons, only one woman was seropositive in WB without subsequent viral DNA amplification. We demonstrate a high level of recent transmission of SFVs to humans in natural settings specifically following severe gorilla bites during hunting activities. The virus was found to persist over several years, with low SFV loads in infected persons. Secondary transmission remains an open question.",Journal Article,PLoS Pathog,7,10,e1002306,"Adolescent;Adult;Africa, Central/epidemiology;Aged;Aged, 80 and over;Animals;Antibodies, Viral;Ape Diseases/*transmission/virology;Bites and Stings;Blacks/ethnology;Child;Child, Preschool;DNA, Viral/analysis;Female;Hominidae/*virology;Humans;Male;Middle Aged;Retroviridae Infections/ethnology/*transmission/virology;Sequence Analysis, DNA;Seroepidemiologic Studies;Simian foamy virus/genetics/immunology/*isolation & purification;Young Adult;Zoonoses/epidemiology/virology",22046126,10.1371/journal.ppat.1002306,1553-7366 (Print);1553-7366
54,Jonny,maybe,3422,"Bevins, S. N.;Carver, S.;Boydston, E. E.;Lyren, L. M.;Alldredge, M.;Logan, K. A.;Riley, S. P.;Fisher, R. N.;Vickers, T. W.;Boyce, W.;Salman, M.;Lappin, M. R.;Crooks, K. R.;VandeWoude, S.",2012,"Three pathogens in sympatric populations of pumas, bobcats, and domestic cats: implications for infectious disease transmission","Anthropogenic landscape change can lead to increased opportunities for pathogen transmission between domestic and non-domestic animals. Pumas, bobcats, and domestic cats are sympatric in many areas of North America and share many of the same pathogens, some of which are zoonotic. We analyzed bobcat, puma, and feral domestic cat samples collected from targeted geographic areas. We examined exposure to three pathogens that are taxonomically diverse (bacterial, protozoal, viral), that incorporate multiple transmission strategies (vector-borne, environmental exposure/ingestion, and direct contact), and that vary in species-specificity. Bartonella spp., Feline Immunodeficiency Virus (FIV), and Toxoplasma gondii IgG were detected in all three species with mean respective prevalence as follows: puma 16%, 41% and 75%; bobcat 31%, 22% and 43%; domestic cat 45%, 10% and 1%. Bartonella spp. were highly prevalent among domestic cats in Southern California compared to other cohort groups. Feline Immunodeficiency Virus exposure was primarily associated with species and age, and was not influenced by geographic location. Pumas were more likely to be infected with FIV than bobcats, with domestic cats having the lowest infection rate. Toxoplasma gondii seroprevalence was high in both pumas and bobcats across all sites; in contrast, few domestic cats were seropositive, despite the fact that feral, free ranging domestic cats were targeted in this study. Interestingly, a directly transmitted species-specific disease (FIV) was not associated with geographic location, while exposure to indirectly transmitted diseases--vector-borne for Bartonella spp. and ingestion of oocysts via infected prey or environmental exposure for T. gondii--varied significantly by site. Pathogens transmitted by direct contact may be more dependent upon individual behaviors and intra-specific encounters. Future studies will integrate host density, as well as landscape features, to better understand the mechanisms driving disease exposure and to predict zones of cross-species pathogen transmission among wild and domestic felids.",Journal Article,PLoS One,7,2,e31403,"Animals;Animals, Domestic;Animals, Wild;Bartonella;Cats;*Felidae;Immunodeficiency Virus, Feline;Infections/microbiology/*transmission;Lynx;Puma;Toxoplasma",22347471,10.1371/journal.pone.0031403,1932-6203
55,Jonny,NO,3804,"Bevins, S. N.;Lutman, M.;Pedersen, K.;Barrett, N.;Gidlewski, T.;Deliberto, T. J.;Franklin, A. B.",2018,"Spillover of Swine Coronaviruses, United States","Porcine epidemic diarrhea virus, a pathogen first detected in US domestic swine in 2013, has rapidly spilled over into feral swine populations. A better understanding of the factors associated with pathogen emergence is needed to better manage, and ultimately prevent, future spillover events from domestic to nondomestic animals.",Journal Article,Emerg Infect Dis,24,7,1390-1392,Animals;*Coronavirus;Coronavirus Infections/*veterinary;Seroepidemiologic Studies;Swine;Swine Diseases/*epidemiology/*virology;United States/epidemiology;*pedv;*United States;*pathogen emergence;*pigs;*porcine epidemic virus;*spillover;*swine;*swine coronavirus;*viruses,29912697,10.3201/eid2407.172077,1080-6040 (Print);1080-6040
56,Jonny,maybe,4175,"Bianco, A.;Zecchin, B.;Fusaro, A.;Schivo, A.;Ormelli, S.;Bregoli, M.;Citterio, C. V.;Obber, F.;Dellamaria, D.;Trevisiol, K.;Lorenzetto, M.;De Benedictis, P.;Monne, I.",2020,Two waves of canine distemper virus showing different spatio-temporal dynamics in Alpine wildlife (2006-2018),"Canine distemper virus (CDV) represents an important threat for both wild and domestic carnivores. Since 2006, the North-Eastern regions in Italy have been experiencing severe and widespread recurring outbreaks of CDV affecting the wild carnivore population. In this study we performed an extensive phylogeographic analysis of CDV strains belonging to the Wildlife-Europe genetic group identified between 2006 and 2018 in Veneto, Trentino Alto Adige and Friuli Venezia Giulia regions. Our analysis revealed that viruses from the first (2006-2009) and the second (2011-2018) epidemic wave cluster separately, suggesting the introduction of two distinct genetic variants. These two events were characterized by different diffusion rates and spatial distribution, thus suggesting the existence of a connection between infection spread and host population dynamics. We also report the first spillover event of this strain to a non-vaccinated dog in a rural area of Friuli Venezia Giulia. The increasing prevalence of the infection in wildlife population, the broad host range of CDV circulating in the Alpine wildlife and the first reported transmission of a wild-adapted strain to a domestic dog in this region raise concerns over the vulnerability of wildlife species and the exposure of our pets to new threatening strains. Understanding the dynamic of CDV epidemics will also improve preparedness for re-emerging diseases affecting carnivore species.",Journal Article,Infect Genet Evol,84,,104359,"Animals;Animals, Wild/*virology;Distemper/*epidemiology;Distemper Virus, Canine/*genetics/isolation & purification;Foxes/virology;Italy/epidemiology;Phylogeny;Phylogeography;Spatio-Temporal Analysis;*Canine distemper virus;*Dog;*Northern Italy;*Phylogenetic analysis;*Spillover;*Wildlife",32407794,10.1016/j.meegid.2020.104359,1567-1348
57,Jonny,maybe,3076,"Bibollet-Ruche, F.;Galat-Luong, A.;Cuny, G.;Sarni-Manchado, P.;Galat, G.;Durand, J. P.;Pourrut, X.;Veas, F.",1996,Simian immunodeficiency virus infection in a patas monkey (Erythrocebus patas): evidence for cross-species transmission from African green monkeys (Cercopithecus aethiops sabaeus) in the wild,"Socio-ethological studies on troops of African green monkeys (AGMs) (Cercopithecus aethiops sabaeus) and patas monkeys (Erythrocebus patas) in Senegal have documented physical contacts between these two species. Elevated simian immunodeficiency virus (SIV) seroprevalence rates have been reported for the different AGM subspecies. We report here the extent to which patas monkeys are infected and compare the relatedness of the viruses isolated from theses two different species. Among the 85 AGMs and 54 patas monkeys studied, 47% of 7.5%, respectively, had antibodies that cross-reacted with HIV-2 envelope proteins. From two AGMs a virus was isolated. From the patas monkeys, virus isolation was generally not possible, but from one animal that was ill a virus designated pamG31 was amplified by PCR. In addition, for the two SIVagm isolates, an 830 bp region spanning the env and nef genes was amplified and sequenced. Comparisons of sequences from the env/nef region revealed 80% identity between pam G31 and SIVagm isolates from AGMs of the sabaeus subspecies, and 94% identity between the two SIVagm isolates. Phylogenetic analysis showed that pamG31 belongs to the SIVagm sabaeus subgroup. This is the first report of a lentiviral infection in a patas monkey. The close genetic relatedness between pamG31 and SIVagm sabaeus viruses is a strong argument in favour of cross-species transmission of SIV between AGMs and patas monkeys in the wild. For these reasons, we propose to refer to this patas virus as SIVagm-pamG31.",Journal Article,J Gen Virol,77 ( Pt 4),,773-81,"Amino Acid Sequence;Animals;Base Sequence;*Chlorocebus aethiops;DNA, Viral;Disease Transmission, Infectious;*Erythrocebus patas;Female;Male;Molecular Sequence Data;Phylogeny;Sequence Homology, Amino Acid;Simian Acquired Immunodeficiency Syndrome/immunology/transmission/*virology;Simian Immunodeficiency Virus/genetics/immunology/*physiology;Species Specificity",8627266,10.1099/0022-1317-77-4-773,0022-1317 (Print);0022-1317
